Day,Replicate,Drug-free (CFU/ml),Doxycycline 0.2mg/l (CFU/ml),Doxycycline 0.4mg/l (CFU/ml),Erythromycin 2mg/l (CFU/ml),Erythromycin 5mg/l (CFU/ml),Penicillin 0.125mg/l (CFU/ml),Penicillin 0.25mg/l (CFU/ml),Rifampicin 0.25mg/l (CFU/ml),Rifampicin 0.5mg/l  (CFU/ml)
0,1,820000,648000,860000,780000,824000,784000,792000,836000,1048000
0,2,784000,772000,904000,768000,868000,868000,768000,808000,812000
0,3,860000,868000,1016000,796000,888000,664000,824000,944000,944000
1,1,850000000,328000000,388000000,396000000,524000000,332000000,428000000,568000000,476000000
1,2,780000000,380000000,360000000,264000000,456000000,268000000,380000000,696000000,532000000
1,3,820000000,264000000,300000000,320000000,736000000,484000000,116000000,436000000,372000000
3,1,484000000,1008000000,792000000,928000000,964000000,488000000,528000000,168000000,560000000
3,2,648000000,1140000000,844000000,1036000000,1252000000,408000000,596000000,464000000,536000000
3,3,296000000,1060000000,896000000,1300000000,1028000000,712000000,520000000,296000000,296000000
6,1,268000000,504000000,356000000,800000000,584000000,260000000,168000000,252000000,248000000
6,2,272000000,776000000,356000000,844000000,596000000,240000000,156000000,340000000,284000000
6,3,292000000,644000000,464000000,1016000000,1064000000,204000000,252000000,236000000,348000000
8,1,184000000,852000000,504000000,424000000,576000000,192000000,128000000,360000000,232000000
8,2,188000000,896000000,512000000,504000000,424000000,168000000,152000000,300000000,292000000
8,3,240000000,820000000,592000000,652000000,420000000,120000000,120000000,400000000,284000000
10,1,140000000,1228000000,836000000,1212000000,500000000,88000000,140000000,256000000,312000000
10,2,116000000,916000000,884000000,1324000000,620000000,120000000,128000000,256000000,296000000
10,3,144000000,1272000000,888000000,796000000,536000000,76000000,156000000,316000000,288000000
16,1,96000000,452000000,728000000,872000000,748000000,28000000,0,192000000,96000000
16,2,76000000,936000000,752000000,528000000,720000000,152000000,0,104000000,100000000
16,3,52000000,808000000,772000000,520000000,860000000,104000000,0,76000000,140000000
20,1,72000000,620000000,420000000,656000000,732000000,0,0,88000000,76000000
20,2,44000000,752000000,528000000,620000000,588000000,0,0,72000000,32000000
20,3,76000000,628000000,524000000,688000000,688000000,0,0,80000000,124000000
28,1,100000000,80000000,380000000,352000000,576000000,0,0,104000000,68000000
28,2,92000000,60000000,396000000,436000000,416000000,0,0,124000000,48000000
28,3,84000000,112000000,472000000,288000000,220000000,0,0,104000000,0