Replicate,0mg/l dox,0.2mg/l dox,0.4mg/l dox
1,347.054573019657,362.180274904986,173.507912957468
2,330.516814404737,275.961719521385,192.698405253283
3,377.364121146879,293.456067045891,189.092850049652
4,330.127519820365,319.342112452740,157.466242038217
5,330.300703805877,313.319574700637,216.825868142929
6,315.237898881169,336.897111443511,143.806813088301
7,282.797228863749,252.374406494615,144.477396920020
8,322.425247608932,339.276421218479,161.723725286160
9,338.540894946764,272.579487482810,128.933761739990
10,316.817046932364,310.780630755557,172.401884473576
11,381.688347678103,355.580443274422,184.402287419194
12,360.671786486677,280.183571078095,197.988788040577